id,title,fiscal_year,status,priority,themes,regions,is_active,file_path
IVLP-FY2025-105,Proposal  -  Entrepreneurship and Small Business Development,FY2025,current,3,"Health, Economy, Education",Global,True,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2025-20251122T232159Z-1-001\Proposals Sent FY2025\Proposal - Entrepreneurship and Small Business Development.docx
IVLP-FY2025-106,Proposal  -  Entrepreneurship and Small Business Development (E VRW - 2025 - 0007),FY2025,current,3,"Health, Economy, Education",Europe,True,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2025-20251122T232159Z-1-001\Proposals Sent FY2025\Proposal - Entrepreneurship and Small Business Development (E_VRW-2025-0007).docx
IVLP-FY2025-107,Proposal  -  Improving Water Resource Management,FY2025,current,3,"Climate, Health, Economy","Indo-Pacific, Americas",True,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2025-20251122T232159Z-1-001\Proposals Sent FY2025\Proposal - Improving Water Resource Management.docx
IVLP-FY2025-108,Proposal  -  Promoting Human Rights,FY2025,current,3,"Health, Economy, Human Rights","Africa, Americas",True,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2025-20251122T232159Z-1-001\Proposals Sent FY2025\Proposal - Promoting Human Rights.docx
IVLP-FY2025-109,Proposal  -  Promoting Human Rights (AutoRecovered),FY2025,current,3,"Health, Economy, Human Rights","Africa, Americas",True,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2025-20251122T232159Z-1-001\Proposals Sent FY2025\Proposal - Promoting Human Rights (AutoRecovered).docx
IVLP-FY2025-110,Proposal  -  Volunteerism and Civic Action,FY2025,current,3,"Climate, Security, Health",Indo-Pacific,True,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2025-20251122T232159Z-1-001\Proposals Sent FY2025\Proposal - Volunteerism and Civic Action.docx
IVLP-FY2025-111,Proposal Entrepreneurship and Small Business Development (1) (1) (1),FY2025,current,3,"Health, Economy, Education",Global,True,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2025-20251122T232159Z-1-001\Proposals Sent FY2025\Proposal Entrepreneurship and Small Business Development (1) (1) (1).docx
IVLP-FY2025-112,The Climate Crisis  Working Together for Future Generations,FY2025,current,3,"Climate, Health, Economy",Americas,True,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2025-20251122T232159Z-1-001\Proposals Sent FY2025\The Climate Crisis_ Working Together for Future Generations.docx
IVLP-FY2025-113,University Partnerships  -  IVLP Proposal (2),FY2025,current,3,"Climate, Economy, Education","Indo-Pacific, Europe, Africa, Americas, Asia",True,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2025-20251122T232159Z-1-001\Proposals Sent FY2025\University Partnerships - IVLP Proposal (2).docx
IVLP-FY2025-114,Youth and Civic Engagement 2025,FY2025,current,3,"Climate, Health, Economy",Americas,True,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2025-20251122T232159Z-1-001\Proposals Sent FY2025\Youth and Civic Engagement 2025.docx
IVLP-FY2025-115,Youth in the Political Process,FY2025,current,3,"Climate, Security, Health",Americas,True,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2025-20251122T232159Z-1-001\Proposals Sent FY2025\Youth in the Political Process.docx
IVLP-FY2026-116,IVLP  Arts Ambassadors  30 Years of U.S. - Vietnam Cooperation in Creative Industries ,FY2026,upcoming,4,"Economy, Education, Democracy","Indo-Pacific, Asia",True,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2026-20251122T232204Z-1-001\Proposals Sent FY2026\IVLP_ Arts Ambassadors_ 30 Years of U.S.-Vietnam Cooperation in Creative Industries_.docx
IVLP-FY2026-117,IVLP  Innovative Solutions for a Resilient  Blue Economy ,FY2026,upcoming,4,"Climate, Security, Health","Indo-Pacific, Americas",True,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2026-20251122T232204Z-1-001\Proposals Sent FY2026\IVLP_ Innovative Solutions for a Resilient _Blue Economy_.docx
IVLP-FY2026-118,IVLP Combating Synthetic Opioids Volunteer Community Service Activities,FY2026,upcoming,4,"Climate, Security, Health",Global,True,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2026-20251122T232204Z-1-001\Proposals Sent FY2026\IVLP Combating Synthetic Opioids Volunteer_Community Service Activities.docx
IVLP-FY2026-119,IVLP Proposal  -  Combating Synthetic Opioids (1),FY2026,upcoming,4,"Security, Health, Economy",Americas,True,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2026-20251122T232204Z-1-001\Proposals Sent FY2026\IVLP Proposal - Combating Synthetic Opioids (1).docx
IVLP-FY2026-120,IVLP25  Enhancing Maritime Security in the Quad ,FY2026,upcoming,4,"Climate, Security, Health","Indo-Pacific, Europe, Americas, Middle East, Asia",True,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2026-20251122T232204Z-1-001\Proposals Sent FY2026\IVLP25_ Enhancing Maritime Security in the Quad .docx
IVLP-FY2026-121,IVLP25  Trilateral Maritime Workforce Development ,FY2026,upcoming,4,"Climate, Security, Health","Indo-Pacific, Europe, Americas, Middle East, Asia",True,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2026-20251122T232204Z-1-001\Proposals Sent FY2026\IVLP25_ Trilateral Maritime Workforce Development .docx
IVLP-FY2026-122,Proposal  -  Edward R. Murrow Program for Journalists – Media Accountability,FY2026,upcoming,4,"Security, Economy, Human Rights","Indo-Pacific, Middle East, Asia, Central Asia",True,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2026-20251122T232204Z-1-001\Proposals Sent FY2026\Proposal - Edward R. Murrow Program for Journalists – Media Accountability.docx
IVLP-FY2026-123,Proposal Combatting Illicit Fentanyl and Synthetic Drugs,FY2026,upcoming,4,"Security, Health, Economy","Indo-Pacific, Americas",True,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2026-20251122T232204Z-1-001\Proposals Sent FY2026\Proposal Combatting Illicit Fentanyl and Synthetic Drugs.docx
IVLP-FY2026-124,Proposal IVLP U.S. Approaches to Market - driven Education,FY2026,upcoming,4,"Climate, Security, Health","Indo-Pacific, Americas",True,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2026-20251122T232204Z-1-001\Proposals Sent FY2026\Proposal IVLP U.S. Approaches to Market-driven Education.docx
IVLP-FY2026-125,Proposal U.S. Energy Market and Regulatory Infrastructure with Mexico,FY2026,upcoming,4,"Climate, Security, Economy","Indo-Pacific, Americas",True,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2026-20251122T232204Z-1-001\Proposals Sent FY2026\Proposal U.S. Energy Market and Regulatory Infrastructure with Mexico.docx
IVLP-FY2026-126,Youth Engagement in the Political Process,FY2026,upcoming,4,"Health, Economy, Human Rights",Global,True,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2026-20251122T232204Z-1-001\Proposals Sent FY2026\Youth Engagement in the Political Process.docx
